X,Y,MANUFACTUR,OWNER,CITY_FILE,SHEET_NUM,YEAR_BUILT,STATUS,SOURCE,COMMENT,PIPE_ID,ASSETID,LAST_UPDAT,STATION,TRUCK,SHIFT,INSPECTION,CONDITION,icon_url
-97.0728390314219,32.6056439735242,MUELLER,GRAND PRAIRIE,P-1527,C10.1,"2018",ACTIVE,AS BUILT,,,"7679",2020/04/27,,,,,,./0.png
-97.0729238857391,32.6052227405651,MUELLER,GRAND PRAIRIE,P-1527,C10.1,"2018",ACTIVE,AS BUILT,,,"7688",2018/12/05,,,,,,./0.png
-97.0723855207892,32.6049850370504,MUELLER,GRAND PRAIRIE,P-1527,C10.1,"2018",ACTIVE,AS BUILT,,,"7683",2018/12/05,,,,,,./0.png
-97.0732149324211,32.6045417422959,MUELLER,GRAND PRAIRIE,P-1527,C10.1,"2018",ACTIVE,AS BUILT,,,"7678",2018/12/05,,,,,,./0.png
-97.0740264538695,32.6042528689986,MUELLER,GRAND PRAIRIE,P-1527,C10.1,"2018",ACTIVE,AS BUILT,,,"7687",2018/12/05,,,,,,./0.png
-97.0739217492759,32.6047792873768,MUELLER,GRAND PRAIRIE,P-1527,C10.1,"2018",ACTIVE,AS BUILT,,,"7682",2018/12/05,,,,,,./0.png
-97.0744822591901,32.6050567762585,MUELLER,GRAND PRAIRIE,P-1527,C10.1,"2018",ACTIVE,AS BUILT,,,"7677",2018/12/05,,,,,,./0.png
-97.074422284634,32.605627186918,MUELLER,GRAND PRAIRIE,P-1527,C10.1,"2018",ACTIVE,AS BUILT,,,"7686",2018/12/05,,,,,,./0.png
-97.0749887973674,32.6058044740392,MUELLER,GRAND PRAIRIE,P-1527,C10.1,"2018",ACTIVE,AS BUILT,,,"7681",2018/12/05,,,,,,./0.png
-97.0557875979999,32.6408241636633,MUELLER,GRAND PRAIRIE,P-1553,11A-11B,"2016",ACTIVE,AS BUILT,,,"7676",2022/01/25,,,,,,./0.png
-97.054589564035,32.6389141043316,MUELLER,GRAND PRAIRIE,P-1553,11A-11B,"2016",ACTIVE,AS BUILT,,,"7685",2022/01/25,,,,,,./0.png
-97.0617611982208,32.5852220605978,MUELLER,GRAND PRAIRIE,W-671E,U103,"2015",ACTIVE,AS BUILT,,,"7680",2018/12/05,,,,,,./0.png
-97.0249888424275,32.734930499932,MUELLER,GRAND PRAIRIE,N/A,"0","0",ACTIVE,FIELD CHECK,ROBERT McDONALD,,"7689",2019/01/16,,,,,,./0.png
-97.0413865833552,32.6489468180673,MUELLER,GRAND PRAIRIE,P-1547,C401,"2017",ACTIVE,AS BUILT,,,"7690",2019/01/30,,,,,,./0.png
-97.0089624868612,32.6450677903159,MUELLER,GRAND PRAIRIE,N/A,"0","0",ACTIVE,AS BUILT,Robert McDonald,,"7691",2019/02/14,,,,,,./0.png
-97.0233748885155,32.7045482782284,MUELLER,GRAND PRAIRIE,P-1555,C5.1,"2017",ACTIVE,AS BUILT,,,"7698",2020/04/28,,,,,,./0.png
-97.0232597525527,32.7052264770196,MUELLER,GRAND PRAIRIE,P-1555,C5.1,"2017",ACTIVE,AS BUILT,,,"7694",2020/04/28,,,,,,./0.png
-97.0228634766465,32.7050445668821,MUELLER,GRAND PRAIRIE,P-1555,C5.1,"2017",ACTIVE,AS BUILT,,,"7701",2020/04/28,,,,,,./0.png
-97.0509270381043,32.730272763197,MUELLER,GRAND PRAIRIE,P-1439,C11,"2015",ACTIVE,AS BUILT,,,"7697",2019/02/14,,,,,,./0.png
-97.0510994986239,32.7295704141874,MUELLER,PRIVATE,P-1439,C11,"2015",ACTIVE,AS BUILT,,,"7693",2019/02/25,,,,,,./0.png
-97.051044644861,32.7287528710068,MUELLER,PRIVATE,P-1439,C11,"2015",ACTIVE,AS BUILT,,,"7700",2019/02/25,,,,,,./0.png
-97.0503836318348,32.7285172003636,MUELLER,PRIVATE,P-1439,C11,"2015",ACTIVE,AS BUILT,,,"7696",2019/02/25,,,,,,./0.png
-97.0500292946398,32.728672007302,MUELLER,PRIVATE,P-1439,C11,"2015",ACTIVE,AS BUILT,,,"7692",2019/02/25,,,,,,./0.png
-97.0500329443071,32.7293903387203,MUELLER,PRIVATE,P-1439,C11,"2015",ACTIVE,AS BUILT,,,"7699",2019/02/25,,,,,,./0.png
-97.0500442930376,32.7300791161931,MUELLER,PRIVATE,P-1439,C11,"2015",ACTIVE,AS BUILT,,,"7695",2019/02/25,,,,,,./0.png
-96.9821071948361,32.7263241401167,MUELLER,GRAND PRAIRIE,P-1517,7-8,"2016",ACTIVE,AS BUILT,,,"7702",2019/03/07,,,,,,./0.png
-96.9820682800202,32.7290522098887,MUELLER,GRAND PRAIRIE,P-1517,7-8,"2016",ACTIVE,AS BUILT,,,"7704",2023/02/22,,,,,,./0.png
-96.9820769635229,32.7276854897045,MUELLER,GRAND PRAIRIE,P-1517,7-8,"2016",ACTIVE,AS BUILT,,,"7703",2023/02/22,,,,,,./0.png
-96.9938390299981,32.7192992488397,MUELLER,PRIVATE,P-1568,"11","2016",ACTIVE,AS BUILT,,,"7705",2022/03/23,,,,,,./0.png
-97.02112430826,32.5598771275151,MUELLER,GRAND PRAIRIE,P-999,"6","2006",ACTIVE,AS BUILT,,,"7706",2019/03/21,,,,,,./0.png
-97.019568989427,32.7209246986763,MUELLER,GRAND PRAIRIE,W-452,"11","1989",ACTIVE,DESIGN PLANS,,,"7707",2019/04/02,,,,,,./0.png
-97.0216056400764,32.7089749437016,MUELLER,GRAND PRAIRIE,P-1574,7-8,"2018",ACTIVE,AS BUILT,,,"7708",2019/04/04,,,,,,./0.png
-97.0225342961268,32.7089772322791,MUELLER,GRAND PRAIRIE,P-1574,7-8,"2018",ACTIVE,AS BUILT,,,"7709",2019/04/04,,,,,,./0.png
-97.0225410576573,32.7085650211975,MUELLER,GRAND PRAIRIE,P-1574,7-8,"2018",ACTIVE,AS BUILT,,,"7710",2019/04/04,,,,,,./0.png
-97.0396592917762,32.7273314284501,MUELLER,GRAND PRAIRIE,N/A,"0","0",ACTIVE,FIELD CHECK,Joshua Bulin,,"7712",2019/04/09,,,,,,./0.png
-97.0231123859545,32.6709344802502,MUELLER,GRAND PRAIRIE,P-1425,C-12,"2014",ACTIVE,AS BUILT,,,"7714",2019/08/08,,,,,,./0.png
-97.023444615731,32.6715446114197,MUELLER,GRAND PRAIRIE,P-1425,C-12,"2014",ACTIVE,AS BUILT,,,"7715",2019/08/08,,,,,,./0.png
-97.0071030561778,32.7448296731395,MUELLER,GRAND PRAIRIE,W-790A,C4,"2019",ACTIVE,AS BUILT,,,"7716",2019/09/05,,,,,,./0.png
-97.0466404760952,32.5726683614994,MUELLER,GRAND PRAIRIE,P-1558,"13","2017",ACTIVE,AS BUILT,,,"7717",2019/10/03,,,,,,./0.png
-97.0466496421702,32.5729388042274,MUELLER,GRAND PRAIRIE,P-1558,"13","2017",ACTIVE,AS BUILT,,,"7723",2019/10/03,,,,,,./0.png
-97.0479021569733,32.5729396951588,MUELLER,GRAND PRAIRIE,P-1558,"13","2017",ACTIVE,AS BUILT,,,"7720",2019/10/03,,,,,,./0.png
-97.0491426322201,32.5716177084935,MUELLER,GRAND PRAIRIE,P-1558,"13","2017",ACTIVE,AS BUILT,,,"7725",2019/10/03,,,,,,./0.png
-97.0437700040382,32.7027786066365,MUELLER,GRAND PRAIRIE,P-1585,C-401,"2019",ACTIVE,AS BUILT,,,"7722",2023/02/06,,,,,,./0.png
